,0
304,7.325116
305,7.3274007
306,7.3231335
307,7.3203087
308,7.312962
309,7.3166976
310,7.3120704
311,7.3165274
312,7.314362
313,7.3056126
314,7.3030777
315,7.3073807
316,7.3005986
317,7.2937803
318,7.285092
319,7.293837
320,7.288173
321,7.2973247
322,7.3013654
323,7.304044
324,7.296785
325,7.2870307
326,7.273422
327,7.2680874
328,7.265042
329,7.2567663
330,7.268072
331,7.2551727
332,7.248332
333,7.2387233
334,7.2416334
335,7.2345695
336,7.2280273
337,7.229352
338,7.2115545
339,7.19988
340,7.1973367
341,7.191563
342,7.1892953
343,7.176904
344,7.1680465
345,7.1604533
346,7.1573477
347,7.14949
348,7.1565313
349,7.153695
350,7.1596766
351,7.1601057
352,7.153343
353,7.1483846
354,7.162867
355,7.155032
356,7.146433
357,7.147453
358,7.1493936
359,7.1589184
360,7.1516876
361,7.142498
362,7.127169
363,7.114178
364,7.1178646
365,7.109917
366,7.0983663
367,7.093801
368,7.1021943
369,7.09685
370,7.093998
371,7.095087
372,7.0960155
373,7.100501
374,7.1086335
375,7.109011
376,7.1083527
377,7.114016
378,7.1066256
379,7.1086364
380,7.117813
381,7.113402
382,7.1066313
383,7.104357
384,7.108252
385,7.1054554
386,7.113379
387,7.1171083
388,7.108011
389,7.1169887
390,7.1181254
391,7.124418
392,7.125014
393,7.127012
394,7.131212
395,7.129142
396,7.127687
397,7.131225
398,7.1267886
399,7.141031
400,7.1439
401,7.1531754
402,7.155768
403,7.1600633
404,7.153902
405,7.1501307
406,7.151142
407,7.1525598
408,7.155968
409,7.158696
410,7.1583652
411,7.1577516
412,7.149639
413,7.157304
414,7.1539116
415,7.1532593
416,7.1502914
417,7.153619
418,7.1537585
419,7.1577897
420,7.1587687
421,7.157051
422,7.157827
423,7.157671
424,7.153489
425,7.141009
426,7.1353483
427,7.13237
428,7.1225286
429,7.1209335
430,7.110744
431,7.111616
432,7.109764
433,7.1107073
434,7.1063976
435,7.1032696
436,7.0972943
437,7.0919533
438,7.0856376
439,7.0855875
440,7.077647
441,7.0737367
442,7.0681863
443,7.0735683
444,7.0702724
445,7.070362
446,7.07007
447,7.066177
448,7.0670767
449,7.065159
450,7.067331
451,7.0646753
452,7.0604844
453,7.066761
454,7.0664406
455,7.0609045
456,7.0646663
457,7.0673223
458,7.0659013
459,7.068793
460,7.0805655
461,7.081696
462,7.0822845
463,7.0740237
464,7.068621
465,7.066188
466,7.071683
467,7.070812
468,7.073042
469,7.077236
470,7.075565
471,7.0799794
472,7.0902295
473,7.0886755
474,7.0894732
475,7.0863028
476,7.077419
477,7.0800433
478,7.0829535
479,7.0715604
480,7.0623693
481,7.0618243
482,7.0661254
483,7.0593095
484,7.0634556
485,7.0607004
486,7.062921
487,7.0665803
488,7.06402
489,7.0646906
490,7.0676613
491,7.0695777
492,7.0669017
493,7.066042
494,7.065894
495,7.0651493
496,7.0588574
497,7.0537724
498,7.06227
499,7.069438
500,7.0878463
501,7.0833035
502,7.0784283
503,7.0791106
504,7.0796413
505,7.0803843
506,7.077656
507,7.07274
508,7.0746374
509,7.0722055
510,7.070389
511,7.0682373
512,7.068191
513,7.0667067
514,7.0617576
515,7.054427
516,7.0530148
517,7.053287
518,7.055518
519,7.0573435
520,7.071657
521,7.0659614
522,7.0635653
523,7.0570946
524,7.0540886
525,7.0536203
526,7.064775
527,7.057699
528,7.0575347
529,7.0528965
530,7.0567265
531,7.0633287
532,7.06049
533,7.058326
534,7.059411
535,7.069543
536,7.0680504
537,7.0760546
538,7.0747647
539,7.08918
540,7.085468
541,7.0973105
542,7.0909057
543,7.1003876
544,7.1063023
545,7.108511
546,7.1115513
547,7.1147504
548,7.1149364
549,7.1186037
550,7.1217947
551,7.1282477
552,7.131153
553,7.134672
554,7.126769
555,7.131861
556,7.132078
557,7.1305795
558,7.1272807
559,7.124216
560,7.1252913
561,7.126733
562,7.1248264
563,7.126766
564,7.1241074
565,7.1200027
566,7.1168337
567,7.1186514
568,7.119477
569,7.114391
570,7.1144695
571,7.1241527
572,7.1210127
573,7.124943
574,7.127584
575,7.128808
576,7.1576743
577,7.1509027
578,7.1712728
579,7.1741886
580,7.1920056
581,7.1918964
582,7.185371
583,7.1860495
584,7.192545
585,7.198884
586,7.1978164
587,7.2005506
588,7.2077494
589,7.202593
590,7.2033505
591,7.1954403
592,7.2004323
593,7.202381
594,7.1981936
595,7.1932554
596,7.195553
597,7.191763
598,7.1869063
599,7.1861305
600,7.1844697
601,7.1822033
602,7.1796536
603,7.1784496
604,7.1783814
605,7.182273
606,7.183868
607,7.1799126
608,7.175734
609,7.1720943
610,7.167504
611,7.169181
612,7.1696215
613,7.165306
614,7.1632605
615,7.1541533
616,7.1502323
617,7.150303
618,7.15237
619,7.1555963
620,7.1559944
621,7.1539044
622,7.151775
623,7.147623
624,7.145225
625,7.1415696
626,7.13372
627,7.1304183
628,7.122876
629,7.1176844
630,7.112578
631,7.117516
632,7.110952
633,7.110076
634,7.1043525
635,7.100867
636,7.095712
637,7.0905457
638,7.0824013
639,7.080915
640,7.0790553
641,7.0764995
642,7.0789514
643,7.072757
644,7.0659795
645,7.0659065
646,7.0583434
647,7.0563054
648,7.0530653
649,7.0482197
650,7.0459743
651,7.0467925
652,7.041557
653,7.0360694
654,7.0335946
655,7.032946
656,7.0295324
657,7.0261445
658,7.0209556
659,7.016284
660,7.0179377
661,7.0174375
662,7.013769
663,7.016167
664,7.0221343
665,7.01673
666,7.010792
667,7.010292
668,7.007695
669,7.0044494
670,6.9972444
671,6.995266
672,6.9929056
673,6.993267
674,6.99795
675,6.995201
676,6.9919367
677,6.988091
678,6.9935026
679,6.9887567
680,6.9876466
681,6.986293
682,6.990926
683,6.9846015
684,6.9803214
685,6.9849634
686,6.990206
687,6.99256
688,6.991931
689,6.9911566
690,6.987762
691,6.9840293
692,6.983242
693,6.982056
694,6.989373
695,6.994553
696,6.9905586
697,6.986936
698,6.9813023
699,6.973833
700,6.9681435
701,6.962796
702,6.9597936
703,6.9523315
704,6.9487658
705,6.948425
706,6.9487567
707,6.94908
708,6.9448957
709,6.9425488
710,6.939966
711,6.936797
712,6.9355
713,6.9282746
714,6.924871
715,6.925001
716,6.925259
717,6.9312735
718,6.927931
719,6.9384265
720,6.934736
721,6.9298835
722,6.930238
723,6.926811
724,6.928213
725,6.9273
726,6.9253244
727,6.9210086
728,6.9219494
729,6.9237537
730,6.924583
731,6.9193807
732,6.9170556
733,6.916472
734,6.9147363
735,6.915195
736,6.911407
737,6.912106
738,6.9102607
739,6.90963
740,6.911755
741,6.9126964
742,6.915962
743,6.9172535
744,6.915811
745,6.914214
746,6.914156
747,6.912888
748,6.9100604
749,6.912312
750,6.9108195
751,6.906336
752,6.9050894
753,6.9020357
754,6.9031134
755,6.9043474
756,6.901889
757,6.897912
758,6.8964434
759,6.8921847
760,6.8876934
761,6.8862934
762,6.883639
763,6.884766
764,6.886589
765,6.8809443
766,6.8859606
767,6.886329
768,6.8877563
769,6.8863945
770,6.883534
771,6.8848333
772,6.8848233
773,6.8843
774,6.887568
775,6.8863187
776,6.8923225
777,6.9017396
778,6.900769
779,6.905999
780,6.9094644
781,6.9100294
782,6.914083
783,6.910458
784,6.9099374
785,6.908566
786,6.907231
787,6.909078
788,6.90492
789,6.9064817
790,6.90695
791,6.9023232
792,6.8975286
793,6.894084
794,6.8926673
795,6.8923407
796,6.8936663
797,6.8962245
798,6.901054
799,6.8988204
800,6.8971453
801,6.8960247
802,6.8946366
803,6.9008718
804,6.900776
805,6.9000726
806,6.8971715
807,6.8994794
808,6.8982983
809,6.896006
810,6.898289
811,6.898819
812,6.8951125
813,6.8943644
814,6.9004607
815,6.8981857
816,6.8941936
817,6.8954964
818,6.8963275
819,6.8978987
820,6.896532
821,6.895199
822,6.892933
823,6.892485
824,6.892748
825,6.893543
826,6.890146
827,6.8893323
828,6.888372
829,6.889886
830,6.8896112
831,6.8867316
832,6.8847113
833,6.889124
834,6.8905473
835,6.885539
836,6.8863015
837,6.879967
838,6.8833947
839,6.8869
840,6.889838
841,6.886945
842,6.8818946
843,6.8765497
844,6.8729343
845,6.868433
846,6.865466
847,6.8628154
848,6.858047
849,6.8525653
850,6.859597
851,6.8609796
852,6.8653197
853,6.869813
854,6.867263
855,6.8614073
856,6.867807
857,6.8686414
858,6.863288
859,6.8643203
860,6.8624544
861,6.8610168
862,6.8636136
863,6.8733997
864,6.871288
865,6.868528
866,6.86617
867,6.86468
868,6.8644404
869,6.8654885
870,6.8644753
871,6.86746
872,6.865077
873,6.864512
874,6.869315
875,6.868157
876,6.867755
877,6.869969
878,6.869511
879,6.871018
880,6.8702073
881,6.8753276
882,6.881298
883,6.8792124
884,6.8808417
885,6.8845096
886,6.8859053
887,6.882944
888,6.8860025
889,6.881704
890,6.878145
891,6.877597
892,6.874894
893,6.874873
894,6.875956
895,6.8762846
896,6.874961
897,6.868156
898,6.8663163
899,6.8618326
