,0
223,32.324635
224,32.288647
225,32.31182
226,32.33137
227,32.32865
228,32.313774
229,32.339157
230,32.306595
231,32.271656
232,32.248394
233,32.22846
234,32.191097
235,32.18974
236,32.19989
237,32.232594
238,32.212864
239,32.223335
240,32.241974
241,32.20762
242,32.251556
243,32.316715
244,32.35975
245,32.38412
246,32.37324
247,32.35348
248,32.367794
249,32.430504
250,32.452446
251,32.469673
252,32.521355
253,32.567326
254,32.569485
255,32.56286
256,32.55498
257,32.557476
258,32.552578
259,32.583725
260,32.642303
261,32.667152
262,32.670338
263,32.62965
264,32.63308
265,32.70272
266,32.70643
267,32.691555
268,32.70829
269,32.69941
270,32.689693
271,32.672688
272,32.666748
273,32.689316
274,32.681904
275,32.67764
276,32.69887
277,32.720806
278,32.72933
279,32.720047
280,32.75489
281,32.775166
282,32.813904
283,32.805023
284,32.81675
285,32.847942
286,32.87701
287,32.90273
288,32.92541
289,32.932705
290,32.93499
291,32.98071
292,33.010715
293,33.054455
294,33.08478
295,33.119614
296,33.137314
297,33.163498
298,33.208378
299,33.205334
300,33.215023
301,33.219387
302,33.21671
303,33.23404
304,33.261345
305,33.26458
306,33.272346
307,33.26342
308,33.260136
309,33.242805
310,33.248516
311,33.236668
312,33.24444
313,33.24261
314,33.226074
315,33.23054
316,33.22745
317,33.228436
318,33.197697
319,33.18966
320,33.17744
321,33.13691
322,33.130814
323,33.106316
324,33.095905
325,33.070656
326,33.035027
327,33.029156
328,33.006626
329,32.97528
330,33.008575
331,32.97781
332,32.96296
333,32.97074
334,32.937405
335,32.8866
336,32.84705
337,32.827957
338,32.76585
339,32.708443
340,32.69334
341,32.668694
342,32.625286
343,32.563095
344,32.51425
345,32.5107
346,32.511417
347,32.457207
348,32.440594
349,32.45685
350,32.479458
351,32.439407
352,32.434994
353,32.39096
354,32.414856
355,32.3849
356,32.331676
357,32.29836
358,32.269527
359,32.26098
360,32.2361
361,32.19542
362,32.1372
363,32.080685
364,32.06857
365,32.037186
366,32.0381
367,32.015907
368,31.981104
369,31.978956
370,31.971292
371,31.961037
372,31.937935
373,31.93685
374,31.948725
375,31.929693
376,31.901758
377,31.86827
378,31.832113
379,31.822598
380,31.830236
381,31.82288
382,31.80191
383,31.761068
384,31.738586
385,31.723097
386,31.730907
387,31.693909
388,31.678375
389,31.67309
390,31.674467
391,31.671503
392,31.698948
393,31.711407
394,31.714043
395,31.720415
396,31.723774
397,31.742554
398,31.796978
399,31.823015
400,31.821785
401,31.828403
402,31.832792
403,31.822277
404,31.808418
405,31.781023
406,31.763828
407,31.760082
408,31.767944
409,31.751675
410,31.735996
411,31.749805
412,31.765043
413,31.749046
414,31.74463
415,31.718845
416,31.729792
417,31.717485
418,31.740463
419,31.71225
420,31.695673
421,31.668585
422,31.671741
423,31.699116
424,31.715212
425,31.689108
426,31.646269
427,31.63574
428,31.62968
429,31.634441
430,31.618814
431,31.633171
432,31.627674
433,31.619001
434,31.613104
435,31.610085
436,31.583696
437,31.588352
438,31.590624
439,31.643152
440,31.67649
441,31.681896
442,31.677563
443,31.723173
444,31.739388
445,31.757963
446,31.77366
447,31.816685
448,31.837595
449,31.848963
450,31.870981
451,31.895628
452,31.930183
453,31.953705
454,31.978214
455,32.00641
456,32.03926
457,32.03309
458,32.059082
459,32.070957
460,32.071873
461,32.10473
462,32.119064
463,32.144855
464,32.17384
465,32.19617
466,32.18995
467,32.204346
468,32.220547
469,32.22634
470,32.247135
471,32.253143
